lincs_position,gene_id,gene_symbol,ensembl_id
660,10681,GNB5,ENSG00000069966
661,10682,EBP,ENSG00000147155
662,10695,CNPY3,ENSG00000137161
663,10730,YME1L1,ENSG00000136758
664,10732,TCFL5,ENSG00000101190
665,10765,KDM5B,ENSG00000117139
666,10775,POP4,ENSG00000105171
667,10776,ARPP19,ENSG00000128989
668,10782,ZNF274,ENSG00000171606
669,10797,MTHFD2,ENSG00000065911
670,10810,WASF3,ENSG00000132970
671,10813,UTP14A,ENSG00000156697
672,10818,FRS2,ENSG00000166225
673,10845,CLPX,ENSG00000166855
674,10857,PGRMC1,ENSG00000101856
675,10892,MALT1,ENSG00000172175
676,10898,CPSF4,ENSG00000160917
677,10904,BLCAP,ENSG00000166619
678,10915,TCERG1,ENSG00000113649
679,10921,RNPS1,ENSG00000205937
680,10953,TOMM34,ENSG00000025772
681,10954,PDIA5,ENSG00000065485
682,10962,MLLT11,ENSG00000213190
683,10969,EBNA1BP2,ENSG00000117395
684,10972,TMED10,ENSG00000170348
685,10973,ASCC3,ENSG00000112249
686,11000,SLC27A3,ENSG00000143554
687,11004,KIF2C,ENSG00000142945
688,11007,CCDC85B,ENSG00000175602
689,11011,TLK2,ENSG00000146872
690,11014,KDELR2,ENSG00000136240
691,11031,RAB31,ENSG00000168461
692,11041,B4GAT1,ENSG00000174684
693,11044,TENT4A,ENSG00000112941
694,11065,UBE2C,ENSG00000175063
695,11072,DUSP14,ENSG00000276023
696,11073,TOPBP1,ENSG00000163781
697,11098,PRSS23,ENSG00000150687
698,11137,PWP1,ENSG00000136045
699,11142,PKIG,ENSG00000168734
700,11151,CORO1A,ENSG00000102879
701,11157,LSM6,ENSG00000164167
702,11168,PSIP1,ENSG00000164985
703,11182,SLC2A6,ENSG00000160326
704,11188,NISCH,ENSG00000010322
705,11200,CHEK2,ENSG00000183765
706,11230,PRAF2,ENSG00000243279
